country,total_medals
Afghanistan,2
Albania,0
Algeria,5
American Samoa,0
Andorra,0
Angola,0
Antigua and Barbuda,0
Argentina,92
Argentina-1,0
Argentina-2,0
Armenia,13
Aruba,0
Australia,351
Australia-1,0
Australia-2,0
Austria,54
Austria-1,4
Austria-2,0
Azerbaijan,35
Bahamas,17
Bahrain,3
Bangladesh,0
Barbados,0
Belarus,73
Belarus-1,0
Belarus-2,0
Belgium,29
Belize,0
Benin,0
Bermuda,0
Bhutan,0
Bolivia,0
Bonaparte,1
Bosnia and Herzegovina,0
Botswana,1
Brazil,175
Brazil-1,10
Brazil-2,2
Brentina,0
Briar,0
British Virgin Islands,0
Brunei,0
Bulgaria,14
Burkina Faso,0
Burundi,1
Calimucho,0
Cambodia,0
Cameroon,1
Canada,321
Canada-1,12
Canada-2,2
Canada-3,0
Cape Verde,0
Cayman Islands,0
Central African Republic,0
Chad,0
Chile,1
China,423
China-1,22
China-2,8
China-3,0
Chinese Taipei,11
Clearwater,1
Colombia,18
Comoros,0
Congo (Brazzaville),0
Congo (Kinshasa),0
Cook Islands,0
Costa Rica,0
Cote d'Ivoire,2
Croatia,68
Cuba,72
Cuba-1,0
Cuba-2,0
Cyprus,1
Czech Republic,52
Czech Republic-1,4
Czech Republic-2,0
Denmark,71
Denmark-1,2
Denmark-2,0
Diabolo St Maurice,0
Digby,1
Djibouti,0
Dominica,0
Dominican Republic,5
Don Schufro,1
Dow Jones,0
Ecuador,1
Egypt,6
El Salvador,0
Elvis Va,1
Equatorial Guinea,0
Eritrea,0
Estonia,10
Ethiopia,22
Federated States of Micronesia,0
Fiji,13
Finland,91
Floresco,0
France,283
France-1,2
France-2,2
Gabon,1
Galopin De La Font,0
Gambia,0
Georgia,20
Germany,419
Germany-1,16
Germany-2,4
Germany-3,0
Ghana,0
Gran Gesto,0
Great Britain,359
Great Britain-1,2
Great Britain-2,2
Greece,17
Greece-1,0
Greece-2,0
Greenoaks Dundee,0
Grenada,2
Guam,0
Guatemala,1
Guinea,0
Guinea Bissau,0
Guyana,0
Haiti,0
Honduras,0
Hong Kong,1
Hungary,75
Iceland,14
India,11
India-1,0
India-2,0
Individual Olympic Athletes,2
Indonesia,7
Indonesia-1,6
Indonesia-2,0
Iran,22
Iraq,0
Ireland,11
Israel,3
Italy,199
Italy-1,2
Italy-2,0
Jamaica,69
Japan,215
Japan-1,2
Japan-2,0
Jordan,1
Kazakhstan,46
Kenya,39
Kiribati,0
Kosovo,1
Kuwait,1
Kyrgyzstan,2
Lancet,0
Laos,0
Latvia,10
Latvia-1,10
Latvia-2,0
Lebanon,0
Lesotho,0
Liberia,0
Libya,0
Liechtenstein,0
Lithuania,17
Lucky Star,0
Luxembourg,0
Macedonia,0
Madagascar,0
Malawi,0
Malaysia,11
Malaysia-1,0
Malaysia-2,0
Maldives,0
Mali,0
Malta,0
Marshall Islands,0
Mauritania,0
Mauritius,1
Mexico,33
Mistral Hojris,0
Moldova,3
Monaco,0
Mongolia,11
Montenegro,14
Morocco,4
Mozambique,0
Myanmar,0
Mythilus,0
Nadine,1
Namibia,0
Nauru,0
Nepal,0
Netherlands,212
Netherlands Antilles,0
Netherlands-1,2
Netherlands-2,0
New Zealand,78
Nicaragua,0
Niger,1
Nigeria,41
North Korea,19
Norway,133
Norway-1,0
Norway-2,0
Notavel,0
Oman,0
Orion,0
Oxalis,0
Pakistan,0
Palau,0
Palestine,0
Panama,1
Papua New Guinea,0
Paraguay,0
Peru,0
Philippines,1
Poland,67
Poland-1,0
Poland-2,0
Pop Art,0
Portugal,5
Puerto Rico,3
Qatar,3
Quando Quando,0
Rambo,0
Ravel,0
Refugee Olympic Athletes,0
Relampago,0
Romania,54
Romania-1,0
Romania-2,0
Russia,470
Russia-1,16
Russia-2,4
Russia-3,0
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Salinero,1
Samoa,0
San Marino,0
Sao Tome and Principe,0
Satchmo,1
Saudi Arabia,4
Senegal,0
Serbia,85
Serbia-1,0
Serbia-2,0
Seychelles,0
Sierra Leone,0
Singapore,8
Slovakia,27
Slovakia-1,0
Slovakia-2,0
Slovenia,25
Solomon Islands,0
Solos Carex,0
Somalia,0
South Africa,33
South Korea,187
South Korea-1,10
South Korea-2,0
South Sudan,0
Spain,174
Spain-1,2
Spain-2,2
Sri Lanka,0
Sudan,1
Sunrise,1
Suriname,0
Swaziland,0
Sweden,124
Sweden-1,0
Sweden-2,2
Switzerland,66
Switzerland-1,2
Switzerland-2,0
Syria,0
Tajikistan,4
Tanzania,0
Thailand,13
Timor Leste,0
Togo,1
Tonga,0
Trinidad and Tobago,17
Tunisia,7
Turkey,20
Turkmenistan,0
Tuvalu,0
Uganda,1
Ukraine,77
Ukraine-1,0
Ukraine-2,0
United Arab Emirates,1
United States,944
United States Virgin Islands,0
United States-1,34
United States-2,12
United States-3,0
Uruguay,0
Uzbekistan,22
Vanuatu,0
Venezuela,5
Vietnam,3
Whisper,0
Whitini Star,0
Yemen,0
Zambia,0
Zimbabwe,4
